insee_code,commune_name,department_code,region_code,display_name,is_arrondissement
22197,Pleudihen-sur-Rance,22,53,Pleudihen-sur-Rance (22),False
56160,Pleugriffet,56,53,Pleugriffet (56),False
35226,Pleugueneuc,35,53,Pleugueneuc (35),False
86193,Pleumartin,86,75,Pleumartin (86),False
35227,Pleumeleuc,35,53,Pleumeleuc (35),False
22198,Pleumeur-Bodou,22,53,Pleumeur-Bodou (22),False
22199,Pleumeur-Gautier,22,53,Pleumeur-Gautier (22),False
39429,Pleure,39,27,Pleure (39),False
51432,Pleurs,51,44,Pleurs (51),False
35228,Pleurtuit,35,53,Pleurtuit (35),False
29161,Pleuven,29,53,Pleuven (29),False
88350,Pleuvezain,88,44,Pleuvezain (88),False
16264,Pleuville,16,75,Pleuville (16),False
29162,Pleyben,29,53,Pleyben (29),False
29163,Pleyber-Christ,29,53,Pleyber-Christ (29),False
51433,Plichancourt,51,44,Plichancourt (51),False
32320,Plieux,32,76,Plieux (32),False
51434,Plivot,51,44,Plivot (51),False
29165,Plobannalec-Lesconil,29,53,Plobannalec-Lesconil (29),False
67378,Plobsheim,67,44,Plobsheim (67),False
56161,Ploemel,56,53,Ploemel (56),False
56162,Ploemeur,56,53,Ploemeur (56),False
56164,Ploeren,56,53,Ploeren (56),False
29167,Plogastel-Saint-Germain,29,53,Plogastel-Saint-Germain (29),False
29168,Plogoff,29,53,Plogoff (29),False
29169,Plogonnec,29,53,Plogonnec (29),False
02607,Ploisy,02,32,Ploisy (02),False
88351,Plombières-les-Bains,88,44,Plombières-les-Bains (88),False
21485,Plombières-lès-Dijon,21,27,Plombières-lès-Dijon (21),False
29170,Plomelin,29,53,Plomelin (29),False
29171,Plomeur,29,53,Plomeur (29),False
02608,Plomion,02,32,Plomion (02),False
29172,Plomodiern,29,53,Plomodiern (29),False
29173,Plonéis,29,53,Plonéis (29),False
29174,Plonéour-Lanvern,29,53,Plonéour-Lanvern (29),False
29176,Plonévez-Porzay,29,53,Plonévez-Porzay (29),False
29175,Plonévez-du-Faou,29,53,Plonévez-du-Faou (29),False
22205,Plorec-sur-Arguenon,22,53,Plorec-sur-Arguenon (22),False
71353,Plottes,71,27,Plottes (71),False
18181,Plou,18,24,Plou (18),False
22207,Plouaret,22,53,Plouaret (22),False
29177,Plouarzel,29,53,Plouarzel (29),False
22208,Plouasne,22,53,Plouasne (22),False
56166,Plouay,56,53,Plouay (56),False
22210,Ploubazlanec,22,53,Ploubazlanec (22),False
22211,Ploubezre,22,53,Ploubezre (22),False
29178,Ploudalmézeau,29,53,Ploudalmézeau (29),False
29179,Ploudaniel,29,53,Ploudaniel (29),False
29180,Ploudiry,29,53,Ploudiry (29),False
29185,Plouescat,29,53,Plouescat (29),False
29186,Plouezoc'h,29,53,Plouezoc'h (29),False
22215,Ploufragan,22,53,Ploufragan (22),False
29187,Plougar,29,53,Plougar (29),False
29188,Plougasnou,29,53,Plougasnou (29),False
29189,Plougastel-Daoulas,29,53,Plougastel-Daoulas (29),False
29190,Plougonvelin,29,53,Plougonvelin (29),False
29191,Plougonven,29,53,Plougonven (29),False
22216,Plougonver,22,53,Plougonver (22),False
29192,Plougoulm,29,53,Plougoulm (29),False
56167,Plougoumelen,56,53,Plougoumelen (56),False
